Request_id,Pickup_point,Driver_id,Status,Request_timestamp,Drop_timestamp,Request_hour,Request_day,Time_slot
619,Airport,1.0,Trip Completed,2016-07-11 11:51:00,2016-07-11 13:00:00,11.0,Monday,Day
867,Airport,1.0,Trip Completed,2016-07-11 17:57:00,2016-07-11 18:47:00,17.0,Monday,Evening
1807,City,1.0,Trip Completed,2016-07-12 09:17:00,2016-07-12 09:58:00,9.0,Tuesday,Early Morning
2532,Airport,1.0,Trip Completed,2016-07-12 21:08:00,2016-07-12 22:03:00,21.0,Tuesday,Night
3112,City,1.0,Trip Completed,,,,,Late Night
3879,Airport,1.0,Trip Completed,,,,,Late Night
4270,Airport,1.0,Trip Completed,,,,,Late Night
5510,Airport,1.0,Trip Completed,,,,,Late Night
6248,City,1.0,Trip Completed,,,,,Late Night
267,City,2.0,Trip Completed,2016-07-11 06:46:00,2016-07-11 07:25:00,6.0,Monday,Early Morning
1467,Airport,2.0,Trip Completed,2016-07-12 05:08:00,2016-07-12 06:02:00,5.0,Tuesday,Early Morning
1983,City,2.0,Trip Completed,2016-07-12 12:30:00,2016-07-12 12:57:00,12.0,Tuesday,Day
2784,Airport,2.0,Trip Completed,,,,,Late Night
3075,City,2.0,Trip Completed,,,,,Late Night
3379,City,2.0,Trip Completed,,,,,Late Night
3482,Airport,2.0,Trip Completed,,,,,Late Night
4652,City,2.0,Trip Completed,,,,,Late Night
5335,Airport,2.0,Trip Completed,,,,,Late Night
535,Airport,3.0,Trip Completed,2016-07-11 10:00:00,2016-07-11 10:31:00,10.0,Monday,Day
960,Airport,3.0,Trip Completed,2016-07-11 18:45:00,2016-07-11 19:23:00,18.0,Monday,Evening
1934,Airport,3.0,Trip Completed,2016-07-12 11:17:00,2016-07-12 12:23:00,11.0,Tuesday,Day
2083,Airport,3.0,Trip Completed,2016-07-12 15:46:00,2016-07-12 16:40:00,15.0,Tuesday,Day
2211,Airport,3.0,Trip Completed,2016-07-12 18:00:00,2016-07-12 18:28:00,18.0,Tuesday,Evening
3096,Airport,3.0,Trip Completed,,,,,Late Night
3881,Airport,3.0,Trip Completed,,,,,Late Night
5254,City,3.0,Trip Completed,,,,,Late Night
5434,City,3.0,Trip Completed,,,,,Late Night
5916,City,3.0,Trip Completed,,,,,Late Night
669,City,4.0,Trip Completed,2016-07-11 13:08:00,2016-07-11 13:49:00,13.0,Monday,Day
1567,Airport,4.0,Trip Completed,2016-07-12 06:21:00,2016-07-12 07:10:00,6.0,Tuesday,Early Morning
